Pesticides Name,Symptoms,Cronical Diseases
"Profenofos 40% +
 Cypermethr in 4% EC","Nausea, vomiting, dizziness.",Neurotoxicity.
Propoxur 2% Aerosol,"Nausea, vomiting, respiratory distress.",Neurotoxicity.
Pyrazosulfur on Ethyl 10% WP,Eye irritation.,Liver damage.
"Pyriproxyfe n 10% +
 Bifenthrin 10 % w/w EC for indigenous manfacture","Skin irritation, dizziness.",Neurotoxicity.
Quinalphos 1.5% DP,"Dizziness, nausea, vomiting",Neurotoxicity.
Spinosad 2.5% SC,Skin irritation.,Generally low toxicity.
"Tebuconazo le 10% + Sulphur
 65% WG","Skin irritation, dizziness.",Liver toxicity.
"Tebuconazo
 le 6.7% +
 Captan 26.9% w/w SC","Skin irritation, dizziness.",Liver toxicity.
Thiamethox am 70% WS,"Dizziness, vomiting, nausea.",Neurotoxicity.
Thiamethox am 75% w/w SG,"Dizziness, vomiting, nausea.",Neurotoxicity.
Thiophanat e Methyl 70% WP,Skin irritation.,Liver toxicity.
Thiram 75% DS,"Eye and skin irritation, nausea.",Liver damage
"Triacontano l EC 0.05%
 Min",Mild skin irritation.,"Generally safe, minimal toxicity."
"Triacontano l GR 0.05%
 Min",Mild skin irritation.,"Generally safe, minimal toxicity."
Triazophos 20% EC,Mild skin irritation.,"Generally safe, minimal toxicity."
Tricyclazole 18%+Manc ozeb 62% WP,Mild skin irritation.,"Generally safe, minimal toxicity."
Trifluralin 48% EC,Eye and skin irritation,Liver toxicity.
Ziram 80% WP,"Skin irritation, respiratory distress.",Liver and lung damage.
Bifenthrin 10% EC,"Dizziness, skin irritation.",Neurotoxicity
Clodinafop- propinyl,"Dizziness, skin irritation.",Liver damage.
Gibberellic Acid 0.001% W/W,Mild skin and eye irritation.,No significant long-term effects.
Lambdacyah alothrin 4.9%CS,"Skin irritation, respiratory issues, dizziness.","Neurotoxicity, possible long-term nervous system damage."
Lambda Cyahalothrin 5% EC,"Skin irritation, respiratory issues, dizziness.","Neurotoxicity, possible long-term nervous system damage."
Sulfosulfuron 75% WG,Skin and eye irritation.,Liver and kidney damage with long-term exposure.
Triacontanol 0.1% EW,Mild skin and eye irritation.,No major long-term diseases.
Tricontanol 0.05%GR,Mild skin and eye irritation.,No major long-term diseases.
Atrazin 50% WP,"Skin irritation, nausea, vomiting.","Endocrine disruption, potential carcinogen"
Acetamipird 20% SP,"Dizziness, nausea, vomiting.",Neurotoxicity with prolonged exposure.
"Captain 70% +
 Hexaconazo le 5% WP","Skin and eye irritation, nausea.",Liver toxicity.
Cartap Hydrochlori de 75% SG,"Nausea, vomiting, dizziness.","Neurotoxicity, respiratory distress with high exposure."
Clodinafop- Propargyl 15% WP,"Skin irritation, dizziness.",Liver and kidney damage with prolonged exposure.
Diflubenzur on 25% WP,"Skin irritation, nausea.","Liver damage, potential endocrine disruption."
Ethofenprox 10% EC,"Eye and skin irritation, dizziness.",Neurotoxic effects.
"Mancozeb 64%
Metalaxyl 8% WP","Skin irritation, nausea, dizziness.","Liver and thyroid damage, potential carcinogenic effects."
Oxyfluorfen 23.5% E.C.,"Skin and eye irritation, respiratory issues.",Liver and kidney toxicity with long-term exposure.
"Profenofos 40% +
 Cypermethr in 4 % E.C.","Nausea, dizziness, skin irritation.","Neurotoxicity, possible liver damage with long-term exposure."
IMAZETHAP YR 10% SL,"Eye irritation, respiratory issues, skin irritation.",Potential liver and kidney damage with chronic exposure.
IMIDACHLO RPRID 30.5% SC,"Nausea, dizziness, weakness, respiratory issues.","Neurotoxicity, potential effects on liver and thyroid with prolonged exposure"
INDOXCARB 14.5% SC,"Skin irritation, nausea, headache.",Neurotoxicity with high exposure
Isoprthiolan e 40 % EC,"Eye and skin irritation, nausea.",Long-term liver damage with chronic exposure.
Lambda Cyhalothrin 4.9% CS,"Dizziness, skin irritation, respiratory problems.","Neurotoxicity, long-term nervous system damage."
METRIBUZI NE 70% WP,"Skin and eye irritation, dizziness.",Liver and kidney toxicity with prolonged exposure.
Myclobutan il 10 %WP,"Skin irritation, nausea.","Liver toxicity, potential reproductive effects."
PROFENOF OS 50% EC,"Nausea, dizziness, respiratory distress.","Neurotoxicity, liver and kidney damage with chronic exposure"
Propiconoz ole 25%EC,"Eye and skin irritation, dizziness.","Liver damage, potential carcinogen."
Propineb 70 % WP,"Eye and skin irritation, nausea.",Thyroid and liver damage with prolonged exposure.
TRICYCLAZO LE 75% WP,"Skin irritation, dizziness.",Potential liver and reproductive system effects.
"Azoxystrobi n 11% +
 Tebuconazo le 18.3% SG","Respiratory issues, skin irritation.","Liver toxicity, potential carcinogen (tebuconazole)."
BUFROFENZ IN 25% SC,"Skin irritation, nausea.",Liver toxicity with high exposure.
CAPTAN 70%+HEXAC ONZOLE 5% WP,"Eye and skin irritation, nausea.","Carcinogenic potential, liver toxicity."
"CARBENDAZ IRN 50%
 WP",Eye and skin irritation.,"Liver and reproductive toxicity, possible carcinogen."
Cartap Hydrochlori de 50 % SP,"Nausea, vomiting, dizziness.",Neurotoxicity with high exposure.
"CHLORPYRI PHOS
 20%EC","Dizziness, nausea, respiratory issues.","Neurotoxicity, potential long-term effects on the nervous system."
"CHLORPYRI PHOS 50%
 + CYPERMETH RIN 5% EC","Dizziness, nausea, respiratory issues.","Neurotoxicity, potential long-term effects on the nervous system."
CHLORPYRI PHOS 50% EC,"Dizziness, nausea, respiratory issues.","Neurotoxicity, potential long-term effects on the nervous system."
HEXACONA ZOLE 5% SC,"Skin and eye irritation, nausea.",Liver toxicity.
IMIDACHLO RPRID 17.8% SL,"Dizziness, vomiting, respiratory issues.",Neurotoxicity
IMIDACHLO RPRID 70% WG,"Dizziness, vomiting, respiratory issues.",Neurotoxicity
LAMBDA CYHALOTHR IN 5% EC,"Skin irritation, dizziness, respiratory issues.","Neurotoxicity, long-term effects on the nervous system"
LAMBDA CYHALOTHR IN 2.5% EC,"Skin irritation, dizziness, respiratory issues.","Neurotoxicity, long-term effects on the nervous system"
METALAXYL 35% W.S,Eye and skin irritation.,iver and kidney toxicity with chronic exposure.
"METALAXY
 8% + MANCOZEB
 64% W.P",Skin and eye irritation.,"Liver damage, potential carcinogenic effects (due to Mancozeb)."
OXYFLUORF EN 23.5%,"Skin and eye irritation, respiratory issues.",Liver and kidney damage with prolonged exposure.
Paraquate Dichloride 24% S.L,"Severe respiratory distress, vomiting, abdominal pain.","Lung damage, potentially fatal with high exposure, possible carcinogen."
"PIROXOFOS PROPANYL( CLODINAFO P- PROPARGYL
 )15% WP",Eye and skin irritation.,Liver and kidney toxicity with prolonged exposure.
PROPICONZ OLE 25% EC,"Eye irritation, dizziness.","Liver toxicity, potential carcinogen."
STREPTOMY CN SULPHAT+T ETRACYCLIN E HYDROCHL ORDE 9%SP,"Allergic reactions, skin irritation.","Antibiotic resistance, potential kidney damage."
TRIZOPHOS 40% EC,"Nausea, dizziness, respiratory distress.",liver damage with chronic exposure.
TRICYLCLAZ OLE 75% WP,"Skin and eye irritation, dizziness.",Liver and reproductive system damage
VALIDAMYC IN 3% L,"Skin irritation, nausea.",liver and kidney damage.
Dimethomo rph 12% + Pyraclostro bin 6.7% WG,"Skin irritation, eye irritation.",Liver toxicity with prolonged exposure.
Fenpyroxim ate 5% EC,"Skin and eye irritation, dizziness.",Respiratory issues and potential liver damage.
Dinotefuran 20% SG,"Dizziness, vomiting, nausea.","Neurotoxicity, potential long-term effects on the nervous system"
Carbofuran 3 % CG,"sweating, respiratory issues.",possible fatal respiratory failure in high exposure.
"Novaluron5.2 5% +
 Indoxacarb 4.5% w/w SC","Skin and eye irritation, nausea.",Neurotoxicity
Chlorphyriph os 50%+Cyperm ethrin 5%EC,"Dizziness, nausea, respiratory distress.",long-term nervous system effects.
"2,4-D Amine Salt 58% SL","Eye and skin irritation, nausea, vomiting.","Liver and kidney toxicity, potential carcinogen"
"2,4-D Ethyl Ester 38% EC","Skin and eye irritation, dizziness, nausea.",Liver and kidney toxicity
Acephate 25%+Fenvale rate3%,"vomiting, respiratory distress.",respiratory issues
Acephate 50%+Imidacl oprid 1.8% SP,"Dizziness, nausea, skin irritation.",possible liver effects
"Acephate- 95%S.G.
 (w/w)","Respiratory distress, headache, nausea.",potential organ damage.
Alphamethri n 10% EC,respiratory issues.,Neurotoxicity
Azoxystrobin 18.2% w/w + Difenoconaz ole 11.4% w/w SC For Indigenous Manufacture,"Skin irritation, eye irritation.",Neurotoxicity.
Bifenthrin 10% EC w/w,"Skin irritation, eye irritation.",Liver damage with prolonged exposure.
"Buprofezin- 15%+
 Acephate- 35%WP","dizziness, vomiting.",Neurotoxicity.
"Carbendazim 12%+
 Mancozeb 63% WP","Skin irritation, respiratory issues.",respiratory problems.
Carbndazim 50% WP,"Skin irritation, dizziness.",Neurotoxic;
Cartap Hydrochilorid e 4% GR,"Respiratory distress, dizziness, vomiting.",Neurotoxicity.
Cartap Hydrochilorid e 50% SP,"Nausea, respiratory issues, dizziness.",liver damage.
Chlorpyrifos 50% EC,"Skin irritation, respiratory problems.","Liver damage, possible respiratory issues"
Chlorpyripho s 20% EC,"Skin irritation, dizziness, respiratory distress.",Neurotoxicity.
Copper Oxychloride 50% WP,"dizziness, skin irritation.",potential liver damage
Cypermethri n 10% EC,"Dizziness, skin irritation, nausea.",Respiratory and neurological issues.
Cypermethri n 25%EC,Mild skin irritation.,Generally low toxicity.
Ethion 40%+Cyper Methrin 5% EC,"Dizziness, respiratory issues, nausea.",possible effects on liver.
Fenobucarb (B.P.M.C.) 50%EC,"Skin irritation, dizziness.",Liver toxicity
"Fenobucarb (BPMC) 20%
 + Buprofezin 5% SE For
 Indigenous Manufacture","Skin irritation, respiratory issues.",Neurotoxicity.
Gibberllic Acid 0.186% SP,"Eye and skin irritation, dizziness.",Liver and kidney damage
Imidachlopri d 70% WG,respiratory distress.,potentially fatal respiratory failure.
Imidacloprid 30.5%,mild dizziness.,Generally low toxicity.
Isoprothiolan e-40%E.C.,"Skin and eye irritation, respiratory problems.",Liver and kidney damage
Lamba- Cyhalothrin 4.9%(Capsule Suspensic),"Respiratory irritation, dizziness.",Liver toxicity
Lambdacyhal othrin 2.5% EC,"Skin irritation, respiratory issues",Neurotoxicity
Lambdacyhal othrin 5% EC,"Nausea, dizziness, respiratory distress.",potential liver damage.
Metalaxyl 8%+Mancoze b 64% WP,Eye and skin irritation.,Liver and kidney damage
Methyl Parathion 2%DP,"Respiratory distress, dizziness.",Liver and kidney toxicity.
"Neem Seed Kernel Based EC
 Containing Azadirachtin 0.15% EC(1500ppm)
 min","Skin irritation, dizziness.",effects on the nervous system.
"Neem Seed Kernel Based EC
 Containing Azadirachtin- 0.3% w/w Min. (3000ppm)",Eye and skin irritation.,Liver damage
"Neem Seed Kernel Based EC
 Containing Azadirachtin- 1% (10000ppm) min.","Nausea, respiratory distress, dizziness.",liver damage.
Oxy Flourfin 23.5% EC,skin irritation.,Respiratory problems
Pendimethali n 38.7%CS,"Skin irritation, dizziness",Liver and respiratory issues
Permethrin 25% EC,"Dizziness, nausea, respiratory issues.",Neurotoxicity.
Phosphmido n 40% SL,"Nausea, dizziness, respiratory distress.",possible organ damage.
"Piroxofop- Propinyl(Clod infop- Propargyl)15
 %WP",Skin and eye irritation.,Liver and kidney damage.
Pretilachlor 50%EC,respiratory irritation.,respiratory toxicity.
"Profenofos 40%+
 Cypermethri n 4%EC","nausea, vomiting.",potential organ damage.
Profenofos 50% EC,Eye and skin irritation.,reproductive effects.
"Propiconazol e 13.9% w/w
 +
 Difenoconaz ole 13.9% w/w EC","Dizziness, nausea, vomiting.","Neurotoxicity, potential liver damage."
Quianalphos 25% EC,Eye and skin irritation.,Respiratory irritation
Sulphur 80%WD,Eye and skin irritation,"Liver damage, respiratory issues."
"Tebuconazol e 10% +
 Sulphur 65% WG","Dizziness, nausea, respiratory issues.","Dizziness, nausea, respiratory issues."
Thiamethoxa m-75% w/w SG,"low toxicity, skin irritation in some cases.",Mild effects on skin.
Triacontanol 0.05% EC,"Skin irritation, nausea.",Respiratory issues
Triacontanol 0.05% GR,"Dizziness, vomiting, skin irritation",Neurotoxicity.
Triacontanol EW 0.1% Min,"Eye and skin irritation, dizziness.",liver and kidney damage.
Tricyclzaole 75% WP,"Skin irritation, mild nausea",Low toxicity
"Cypermethri n 3 %+
 Quianalphos 20% EC",Eye and skin irritation.,Mild toxicity
Fenoxaprop- P-Ethyl 9.3% EC,"Eye and skin irritation, dizziness.",liver and kidney damage
"Neem Oil
 Based EC Containing Azadirachti n 0.03%
 (EC)","Skin irritation, mild nausea",Low toxicity
"Neem Seeds Kernal Based E.C. Containing Azadirachti
 n 0.15% E.C.",Eye and skin irritation,Mild toxicity
Alpha Napthyl Acetic Acid 4.5% SL,Mild skin irritation,safe with low toxicity.
"Neem Extract Concentrate Containing Azadirachti n 5.00%
 w/w",possible mild irritation,human toxicity
"Neem Seed Kernal Based EC Containing Azadirachti n 1.00%
 (10000
 ppm) min.","Nausea, vomiting, respiratory distress.",can be fatal.
"Neem
 Kernal Based EC Containing Azadirachti n 0.3%
 w/w min.","dizziness, respiratory issues.",Neurotoxicity.
"Neem Seed Kernal Based EC containing Azadirachti n 0.15%EC
 (1500 ppm) min","Dizziness, nausea, skin irritation.",Neurotoxicity.
Sulphur 80% W.P,Skin and eye irritation.,Liver damage
"Triacontano l GR 0.05%
 Min.","nausea, respiratory distress.",Neurotoxicity.
Bacillus thuringiensi s var.israelen sis 5% WP,"Skin irritation, respiratory problems.",liver damage.
Pseudomon as Fluorescens 1.0%WP,"Skin and eye irritation, nausea.",Liver and kidney damage
Trichoderm a Viride 1.5%WP,Skin and eye irritation,"Liver damage, potential carcinogenic effects."
Trichoderm a harzianum 1.0%WP,Eye and skin irritation.,"Liver damage, reproductive issues."
"Neem Seed Kernel Based EC Containing Azadirachti n 0.15% EC(1500
 ppm)Min","Dizziness, respiratory issues.",Neurotoxicity.
Lambda Cyhalothrin 5% EC,"Nausea, dizziness, respiratory distress.",lead to respiratory failure.
Imidachlopr id 17.8% SL,"dizziness, vomiting.",Neurotoxicity.
Cartap Hydroclorid e 4% GR,"Respiratory irritation, nausea.",potential liver damage.
Piroxofop- Propanyl (Clodinafop- Propargyl) 15% WP,"Dizziness, nausea, skin irritation.",Neurotoxicity.
Monocroto phos 36% SL,"Eye irritation, dizziness, respiratory distress.",Neurotoxicity.
"Tricontanol EW 0.1%
 Min","Nausea, dizziness, skin irritation.","Neurotoxicity, possible organ damage."
Acephate 75 % SP,"dizziness, respiratory issues, sweating, and salivation.","organ damage, and respiratory distress."
Imidachlopr id 30.5% SC,"Skin irritation, dizziness, headache, nausea.",liver damage.
Imidachlopr id 70% WG,"Eye irritation, skin sensitivity, dizziness.","reproductive and developmental effects, liver damage."
Propiconazo le 25% E.C,"Skin irritation, nausea, dizziness.",mild respiratory issues.
Flubendami de 39.35% SC,"Dizziness, skin irritation, respiratory issues.","Neurotoxicity, potential for respiratory failure in severe cases."
"Lambda Cyhalothrin 4.9%
 Capsule Suspension","Dizziness, skin irritation, respiratory issues.",respiratory failure in severe cases
"Fenoxaprop p ethyl
 9.3% EC","Eye and skin irritation, dizziness.",liver and kidney damage with long-term exposure.
Thiophenat e Methyl 70% WP,"Skin irritation, nausea, respiratory distress.","Liver toxicity, possible carcinogenic effects."
"Captan 70% +
 Hexaconazo le 5% WP","Eye and skin irritation, nausea.",skin sensitization.
Bifenthrin 2.5% EC,"Dizziness, headache, nausea,",skin allergies.
Deltamethri n 1.25% ULV,"skin and eye irritation, respiratory issues.",evere respiratory distress if inhaled.
Chlorpyriph os 1.5% DP,"nausea, vomiting, respiratory problems.",potential organ damage
"Glufosinate Ammonium
 13.5 SL","Respiratory irritation, nausea, dizziness",respiratory failure in severe cases.
"Acephate 50% +
 Imidachlorp rid1.8% SP","Skin irritation, dizziness, respiratory distress.",liver damage
Lambda Cyhalothrin 10% WP,"vomiting, skin irritation.",possible liver damage.
"Fipronil 40% +
 Imidaclopri d 40% WG","Eye and skin irritation, dizziness, nausea",carcinogenic effects
"Fenobucarb (BPMC)
 50% EC","Skin irritation, respiratory issues.",liver damage.
"2,4 D Ethyl
 Ester 38% EC (Having 2,4 D Acid
 34% )","Skin irritation, mild nausea.",Low toxicity
Imazethapy r 70% WG,headache.,respiratory issues.
"Neem Seed Kernel Based EC ContNeem Seed
 Kernel Based EC containing Azadirachti n 0.15% EC
 (1500 ppm) minaining Azadirachti n 0.15% EC
 (1500 ppm) Min.","vomiting, respiratory distress.",liver damage.
Thiamethox am 75% SG,respiratory problems.,reproductive effects.
"Thiamethox am 12.6% +
 Lambda Cyhalothrin 9.5% ZC","Dizziness, headache, nausea, skin irritation, eye irritation, respiratory issues.","respiratory distress, and in severe cases, convulsions."
"Buprofezin 20% +
 Acephate 50% WP","respiratory distress, skin and eye irritation.","organ damage, respiratory issues, possible liver toxicity."
Acephate 95% SG,"sweating, vomiting, and excessive salivation.","kidney and liver damage, respiratory distress."
"Fenobucarb (BPMC)
 20% +
 Buprofezin 5% SE","Dizziness, vomiting, nausea, respiratory distress, skin irritation.","liver damage, respiratory failure in severe cases."
Imidachlopr id 0.3% GR,"headache, skin and eye irritation, dizziness.","liver damage, respiratory distress."
"Azoxystrobi n 11% +
 Tebuconazo le 18.3% SC","Eye and skin irritation, nausea, dizziness, respiratory problems.","Liver damage, reproductive toxicity"
"Azoxystrobi
 n 11.5%
 +Mancozeb 30% w/w WP","eye irritation, nausea, dizziness.","reproductive harm, potential neurotoxicity, and respiratory issues with prolonged exposure."
"Azoxystrobi n 18.2% +
 Difenoconaz ole 11.4%
 SC for indigenous manufactur e","Eye irritation, dizziness, respiratory distress.",Neurotoxicity.
"Azoxystrobi n 8.3% +
 Mancozeb 66.7% WG
 for indigenous manufactur e","Dizziness, nausea, skin irritation.",Neurotoxicity.
"Azoxystrobi n 12.5% +
 Tebuconazo le 12.5% SC","Respiratory irritation, nausea.",liver damage.
"Tebuconazo le 10%+ Sulphur
 65% WG","Dizziness, nausea, skin irritation.",Neurotoxicity.
"Emamectin Benzoate 1.5% +
 Fipronil 3.5% SC","Eye irritation, dizziness, respiratory distress.","Eye irritation, dizziness, respiratory distress."
"Diafenthiur on 47.8%
 w/w SC","Nausea, dizziness, skin irritation.",possible organ damage.
Hexythiazox 5.45% EC,"Skin and eye irritation, dizziness, nausea.",Respiratory issues
"Fipronil 4%
 +
 Thiamethox am 4% SC","Nausea, dizziness, abdominal pain, skin irritation.","liver and kidney damage, respiratory problems."
Tebuconazo le 25% WG,"dizziness, nausea.",endocrine disruption.
Trichoderm a Viride 1.5% WP,Skin irritation in sensitive individuals.,Allergic reactions
Trichoderm a harzianum 1.0% WP,Skin irritation.,Rare allergic responses.
Pseudomon as Fluorescens,"Rarely causes harm, except in immunocompromised individuals (respiratory issues, fever).",Infection in vulnerable individuals (immunocompromised).
"Azadirachti n 0.3%
 (3000 ppm) Min.","Eye and skin irritation, nausea.",Minimal toxicity but may cause allergic reactions.
"Gibberelic
 Acid 0.001%
 W/W",Minimal irritation; relatively non-toxic.,Unlikely to cause disease.
"AZOXYSTRO BIN 11% + TEBUCONA ZOLE 18.3%
 w/w SC","Skin irritation, dizziness, nausea, eye irritation.","Liver toxicity, reproductive harm."
"AZOXYSTRO BIN 18.2%
 w/w
 +DIFENOCO NAZOLE
 11.4% w/w SC","Skin irritation, dizziness, respiratory issues.",reproductive toxicity.
Acephate 25%+Fenval erate 3% EC,"Nausea, vomiting, respiratory distress, dizziness.","Neurotoxicity, respiratory issues."
Butacholr 5% GR,"skin rashes, nausea",Mild neurotoxicity.
"B P M C
 (Fenobucar b)-50% EC","Dizziness, nausea, vomiting,",liver damage.
"Chlorpyriph
 os50%+Cyp ermethrin5
 %EC",muscle twitching.,respiratory issues.
Cypermethr in3%+Quina lphos20%EC,"Dizziness, respiratory issues, skin irritation.",organ damage with prolonged exposure.
"Carbendazi
 m12%+Man cozeb63%W
 P","Skin and eye irritation, nausea, dizziness.",reproductive toxicity.
"Carbendazi
 m12%+Man
 cozeb63%W P","nausea, eye irritation","Reproductive harm, liver toxicity."
Carbenbazi m 46.27%SC,nausea,liver toxicity.
Captan 70%+Hexac onazole 5%WP,"Eye irritation, nausea, dizziness.",skin sensitization.
Chloropyrip hos 16%+Alphac yrryiethrin 1% EC,"Respiratory issues, nausea, dizziness.",respiratory distress.
Diuron 80% WP,"nausea, dizziness.","carcinogen, liver and kidney damage."
Deltamethri n2.8% EC,"ye and skin irritation, nausea, dizziness.",respiratory issues.
"Ethion
 40%+Cyper
 methrin 5% EC","espiratory problems, muscle twitching.",organ damage with prolonged exposure.
Hexaoonazo le 5% EC,"Eye and skin irritation, dizziness, nausea.",reproductive harm.
Imidaclopri d 17.8%SL,"Nausea, dizziness, respiratory issues.",liver damage.
MetalaxyI+ Mancozeb 72% WP,"Eye and skin irritation, nausea, dizziness.",reproductive harm.
Metsulfuro n Methyl 20%WP,"Skin irritation, dizziness, nausea.","Mild toxicity, respiratory issues with prolonged exposure."
Oxydemeto n Methyl 25% EC,"dizziness, respiratory","Neurotoxicity, liver damage."
Oxyflu.orfe n 23.5% EC,"Skin and eye irritation, dizziness, respiratory issues.","Neurotoxicity, potential liver and kidney damage."
Phorate 10% CG -,"Nausea, dizziness, vomiting, muscle weakness.","Severe neurotoxicity, potential respiratory failure."
Profenofos 40%+Cyper methrin 4% EC,"Nausea, dizziness, muscle twitching, respiratory problems.","liver damage, respiratory distress."
Propiconazo le 25% EC .,"Skin and eye irritation, dizziness, nausea.",reproductive harm.
Piroxofop- propanyl (Clodinafop propanyl ) 15% WP,"Skin and eye irritation, nausea, dizziness.","Mild neurotoxicity, liver toxicity."
Sulphur 85% DP,"skin rashes, eye irritation.",Lung damage with prolonged
Streptomyci n Sulphate+T etracycline Hydrochlori de (90:10),"Allergic reactions, skin rashes.","ntibiotic resistance, allergic reactions."
Sulphur 55.16% SC,"Skin and eye irritation, respiratory problems.",Lung irritation
Triazophos 35%+Delta methrin 1% EC,"muscle twitching, respiratory problems.",respiratory distress.
Thiomethox am 25% WG,muscle tremors.,liver damage
"Triaccyntan ol EW 0.1%
 Min,",Minimal toxicity,None known.
"2,4-D
 Amine Salt- 58%SL",": Skin irritation, respiratory distress, dizziness.",carcinogen
"2,4-D
 'Ethyl Ester 20% WP","Eye and skin irritation, nausea, vomiting.",carcinogenic effects.
Buprofezin 25%SC,skin irritation.,Mild neurotoxicity.
Myclobutan il 10% W.P.,"Skin and eye irritation, dizziness, nausea.",reproductive toxicity.
Bifenthrin 10% (EC) WAN,"nausea, respiratory problems, skin irritation.",respiratory issues.
"Pretilachlor 37%
 W/W/EW","Skin and eye irritation, dizziness, nausea.","Mild toxicity, liver damage."
Zinc Phosphide 80% W/V,"Severe abdominal pain, vomiting, dizziness, convulsions.","liver and kidney damage, respiratory failure."
lmidaclopri d 48% FS,"vomiting, dizziness, respiratory problems.",liver damage.
Difenoconaz ole-25% EC,"dizziness, nausea.",reproductive harm.
"Fenoxaprop
 -p-ethyl 9.35% EC","Skin and eye irritation, nausea, dizziness.","Neurotoxicity, liver damage"
Monooroto phos 15% W/W SG,"vomiting, respiratory distress, dizziness.","respiratory failure, liver damage."
Fipronil 40%+Imicia cloprid 40% WG,"Skin irritation, headaches, dizziness.",Moderate toxicity; potential neurotoxic effects.
"Novaluron
 5.25% +
 Indoxacarb 4.5% W/W
 SC","Skin irritation, nausea.",ow to moderate toxicity; potential endocrine disruptor.
"Propiconazo
 le 13.9% W/W+
 Difenconazo le 13.9%
 W/W EC","Skin and eye irritation, headaches.",Moderate toxicity; potential reproductive effects.
Buprofezin1 5%+Acepha te 35% WP,"Skin irritation, gastrointestinal upset",Moderate toxicity; potential effects on the nervous system.
Propiconazo le10.7%+Tri cyclazole 34.2%SE,"Skin irritation, dizziness.",Moderate toxicity; potential liver effects.
"Pendimetha lin 30%
 +Imazethap yr 2 % EC","Skin irritation, headaches, gastrointestinal issues.",Moderate toxicity; potential reproductive effects.
"Clodinafop Propargyl 9% +
 Metribuzin 20% WP","Skin irritation, nausea",Moderate toxicity; potential allergic reactions.
"Fipronil 4%
 +
 Acetamiprid 4% SC for indigenous manufactur e","Skin irritation, dizziness, nausea.",Moderate toxicity; potential neurotoxic effects.
Buprofezin 70% DF,"Skin irritation, respiratory distress.",Moderate toxicity; potential neurotoxic effects.
Metsulfuro n Methyl 10% w/w + Chlorimuro n Ethyl 10% WP,"Skin irritation, headaches.",Low toxicity; may cause allergic reactions.
"Fenoducarb (BPMC)
 20% +
 Buprofezin 5% SE for indigenous manufactur e","Skin irritation, nausea",Moderate toxicity; potential neurotoxic effects.
"Thiamethox am 12.6%
 +Lambda- Cyholothrin 9.5% ZC for indigenous manufactur e","Dizziness, skin irritation, headaches.",Moderate toxicity; potential neurotoxic effects.
"Acephate 50% +
 Bifenthrin 10% WDG","Skin irritation, nausea, respiratory distress.",Moderate toxicity; potential effects on the nervous system.
"Emamectin Benzoate 1.5% +
 Fipronil 3.5% (SC)","Skin irritation, dizziness.",Moderate toxicity; potential neurotoxic effects.
Fipronil 0.6% w/w GR,"Skin irritation, headaches, gastrointestinal upset.",Moderate toxicity; neurotoxic potential.
"Pyriproxyfe n 10% +
 Bifenthrin 10% EC","Skin irritation, nausea.",Moderate toxicity; potential endocrine disruptor.
Bispyribac Sodium 10% w/v SC,Skin and eye irritation.,Low toxicity; may cause allergic reactions.
"Emamectin Benzoate 3.0% +
 Thiamethox am 12.0% WG","Skin irritation, headaches.",Moderate toxicity; potential neurotoxic effects.
Hexaconazo le 4% + Carbendazi m 16% SC,"Skin irritation, respiratory issues.",Moderate toxicity; potential reproductive effects.
"Novaluran
 5.25% +
 Emamectin Benzoate 0.9% w/w SC","Skin irritation, nausea.",Moderate toxicity; potential endocrine disruptor.
Hexaconazo le 5% + Validamycin 2.5% EC,"Skin irritation, gastrointestinal upset.",Low to moderate toxicity; potential allergic reactions.
"Alphanapht
 hyl Acetic
 Acid 4.5% Sol",Skin irritation.,low toxicity; may cause allergic reactions.
Streptomyci n + Tetracycline 90:10 SP,"Allergic reactions, gastrointestinal upset.",Potential for antibiotic resistance; moderate toxicity.
"Thiamethox
 am (12.6%)
 +
 Lambdacyh alothrin (9.5%) ZC","Skin irritation, gastrointestinal upset.",Moderate toxicity; potential neurotoxic effects.
"Azoxystrobi
 n 18.2%
 + Difenocon azole11.4%. SC","Skin irritation, dizziness.",Low toxicity; potential long-term effects.
Pendimetha lin 38.7 CS,"Skin irritation, gastrointestinal upset.",low toxicity; potential reproductive effects.
"Pyriproxyfe n 5% +
 Diafenthiur on 20 % SE","Skin irritation, headaches.",Moderate toxicity; potential endocrine disruptor.
"2,4-D
 Amine Salt
 ( 58% WSC )","Skin irritation, nausea, vomiting.",otential reproductive and developmental effects; may cause eye damage.
"Metsulfuro
 n methyl 10%
 +Chlorimur on ethyl
 10% WP","Skin and eye irritation, headache.",Low systemic toxicity; potential for allergic reactions.
Isoprothiola ne 40 EC,"Skin irritation, respiratory issues.",low toxicity; potential chronic effects not well documented.
"2,4-D
 Soduim Salt
 95% SP",": Skin irritation, nausea, dizziness.",eye damage; low chronic toxicity.
"2,4-D
 Amine salt 22.5% SL","Skin irritation, headaches.",Low toxicity; possible long-term effects on reproductive health.
"2,4-D Ethyl Ester ( 38%
 EC )","Skin and eye irritation, gastrointestinal upset.",Low to moderate toxicity; potential long-term effects.
Sulphur 80 WDG,"Skin irritation, respiratory problems.",Low toxicity; may cause allergic reactions in sensitive individuals.
Hexaconazo le ( 5% EC ),"Skin irritation, nausea.",low toxicity; potential endocrine disruptor.
"Lambda Cyhalothrin
 5.0 % EC","Skin irritation, respiratory distress.",Moderate toxicity; potential neurotoxic effects
Metsulfuro n Methyl 20 % WP,"Skin irritation, dizziness.",Low toxicity; may cause allergic reactions
